name,character,birthday
Harrison Ford,Han Solo,7/13/1942
Mark Hamill,Luke Skywalker,9/25/1951
Carrie Fisher,Princess Leia,10/21/1956
Adam Driver,Kylo Ren,11/19/1983
Daisy Ridley,Rey,4/10/1992
John Boyega,Finn,3/17/1992
Oscar Isaac,Poe Dameron,3/9/1979
Lupita Nyong'o,Maz Kanata,3/1/1983
Andy Serkis,Supreme Leader Snoke,4/20/1964 
Domhnall Gleeson,General Hux,5/12/1983
Anthony Daniels,C-3PO,2/21/1946 
Max von Sydow,Lor San Tekka,4/10/1929
Peter Mayhew,Chewbacca,5/19/1944
Gwendoline Christie,Captain Phasma,10/28/1978